Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Vehicle Number,Type of Vehicle,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty
436147,434957,2,1812,3,1,1,1,2,11,2,3,2,6
436147,434957,2,1812,3,1,1,1,2,11,2,3,1,9
436147,434957,2,1812,3,1,1,1,2,11,2,3,2,39
436147,434957,2,1812,3,1,1,1,2,11,2,3,1,5
436147,434957,2,1812,3,1,1,1,2,11,2,3,2,8
436147,434957,2,1812,3,1,1,1,2,11,2,3,2,48
436147,434957,2,1812,3,1,1,1,2,11,2,3,2,57
435904,425850,2,1007,3,1,1,1,2,1,1,3,1,54
423194,438111,1,1505,6,1,1,1,1,9,3,3,2,3
429149,431736,2,1640,6,1,4,1,2,1,1,2,1,45
428760,432723,2,929,3,1,1,1,2,1,1,2,1,44
431451,435823,1,1915,6,1,4,1,1,9,3,3,1,16
427555,433891,2,955,6,1,1,1,2,9,1,3,2,38
420066,445481,2,1035,6,1,1,1,1,5,1,2,1,35
420066,445481,2,1035,6,1,1,1,1,5,2,3,2,37
427140,437363,3,1128,3,1,1,1,2,19,1,3,1,28
427140,437363,3,1128,3,1,1,1,2,19,2,3,1,32
427140,437363,3,1128,3,1,1,1,3,9,1,3,2,46
430783,438603,2,746,6,1,1,1,1,9,1,3,1,69
430783,438603,2,746,6,1,1,1,1,9,2,3,2,69
420015,445436,2,1730,3,1,4,1,1,3,1,2,1,20
432347,430836,2,330,6,1,6,1,2,1,1,3,1,25
422786,434721,1,1230,4,1,1,1,1,9,3,3,2,23
434118,445048,2,1400,6,2,1,5,1,9,2,3,2,53
425491,432085,1,1520,6,9,1,9,1,8,2,2,2,28
430549,432911,1,1748,6,1,4,1,1,9,3,2,2,21
429558,431566,2,754,6,1,1,1,2,1,1,3,1,32
427216,444133,1,830,6,1,1,1,1,9,1,3,2,58
430787,433346,2,1200,3,1,1,1,1,8,1,3,1,32
430787,433346,2,1200,3,1,1,1,1,8,2,3,1,28
430787,433346,2,1200,3,1,1,1,2,9,1,3,2,39
430398,433300,2,1210,6,1,1,1,2,11,2,3,2,79
428128,432795,1,1720,4,1,4,1,1,9,3,3,1,58
429858,432972,2,1733,6,1,4,1,2,1,1,3,1,39
426664,431789,2,1715,3,1,4,1,2,9,1,3,1,29
435931,436473,2,830,3,1,1,1,2,9,1,3,2,29
435931,436473,2,830,3,1,1,1,2,9,2,3,2,23
431468,432543,2,1200,3,1,1,1,1,9,2,3,2,21
431468,432543,2,1200,3,1,1,1,2,9,1,3,2,39
418989,444837,2,1231,3,2,1,1,2,1,1,2,2,20
419724,437029,2,1640,6,1,4,1,2,1,1,2,1,43
429705,431847,2,1807,6,1,4,1,1,9,1,3,2,73
429392,431357,2,2230,6,1,4,1,2,2,1,2,1,17
431234,435814,2,1529,6,1,1,1,1,9,1,3,2,32
430836,435427,2,1710,6,1,4,1,1,9,1,3,2,23
430836,435427,2,1710,6,1,4,1,1,9,2,3,2,20
428934,429852,2,1845,3,1,4,1,1,9,2,3,2,36
428934,429852,2,1845,3,1,4,1,2,9,1,3,1,45
424551,433074,2,1530,6,2,1,1,2,1,1,2,2,37
428628,433188,2,1910,3,1,4,1,1,9,1,3,1,38
420559,437109,2,744,3,2,1,1,1,9,1,3,2,40
420559,437109,2,744,3,2,1,1,2,9,1,3,2,47
422203,433911,1,1331,4,1,1,1,1,9,3,3,2,67
430480,433823,1,1730,6,1,4,1,1,9,3,2,1,34
419782,434064,2,2020,3,1,4,1,2,9,1,3,1,26
431120,430172,1,2250,6,1,4,1,1,8,2,3,2,23
429482,431195,1,847,6,2,1,1,1,9,3,3,2,10
431908,437322,3,1503,6,1,1,1,1,9,1,3,2,27
431908,437322,3,1503,6,1,1,1,3,9,1,3,2,64
428513,433058,2,1545,4,1,1,1,2,9,1,3,2,29
431131,431414,2,1842,6,1,4,1,1,9,1,2,1,35
431131,431414,2,1842,6,1,4,1,2,9,1,2,1,72
431131,431414,2,1842,6,1,4,1,2,9,2,2,2,73
428249,434452,2,1940,6,1,4,1,1,9,2,3,2,33
427457,435882,2,1950,6,1,4,1,2,9,1,3,1,20
426144,437228,2,800,6,2,1,2,1,9,1,3,2,38
431269,445730,2,830,3,1,1,1,1,9,1,3,1,52
431269,445730,2,830,3,1,1,1,2,9,1,3,1,60
430088,431277,2,1755,3,1,4,1,1,9,1,3,1,27
430067,434407,2,1907,2,1,4,1,2,9,1,3,2,28
432212,434654,1,1608,6,1,1,1,1,9,3,3,1,11
429203,433634,2,2100,3,1,7,1,1,9,1,2,2,57
